Teho (kW);Määrä;Pistoke;Latauspiste nro;Osoite;X;Y;Hallinnoija_fi;Hallinnoija_sv;Hallinnoija_en;Latauskohde;Maksu;Sähköhinta (€/kWh);Tuntihinta (€/h);Käyttötapa;Tieto hankittu;Tiedot päivitetty ;Muuta
22;1;Type 2;35;Kaurakatu 43;23461543;6701593;Flör kukka ja puutarha;Flör kukka ja puutarha;Flör kukka ja puutarha;Asiakas/suljettu;Ilmainen;;;Avaus hallinnoijalta;;12.5.2022;
22;2;Type 2;18;Puutori;23459724;6704995;Fortum;Fortum;Fortum;Julkinen;Maksullinen;;;Fortum C&D;;12.5.2022;
22;1;Type 2;21;Kurjenmäenkatu 7;23460487;6703344;Hesburger;Hesburger;Hesburger;Asiakas/julkinen;Maksullinen;;;Virta app;;12.5.2022;
75;2;CCS;21;Kurjenmäenkatu 7;23460487;6703344;Hesburger;Hesburger;Hesburger;Asiakas/julkinen;Maksullinen;;;Virta app;;12.5.2022;
22;2;Type 2;31;Suurpäänkatu 2;23464465;6703637;Hesburger;Hesburger;Hesburger;Asiakas/julkinen;Maksullinen;;;Virta app;;12.5.2022;
50;1;CCS;31;Suurpäänkatu 2;23464465;6703637;Hesburger;Hesburger;Hesburger;Asiakas/julkinen;Maksullinen;;;Virta app;;12.5.2022;
50;1;CHAdeMO;31;Suurpäänkatu 2;23464465;6703637;Hesburger;Hesburger;Hesburger;Asiakas/julkinen;Maksullinen;;;Virta app;;12.5.2022;
22;4;Type 2;29;Kongressikuja 1;23460907;6705525;Holiday Club Resorts;Holiday Club Resorts;Holiday Club Resorts;Asiakas/suljettu;Maksullinen;;;Virta app;;12.5.2022;
22;10;Type 2;41;Lustokatu 7;23464091;6706183;Hostelli Linnasmäki;Hostelli Linnasmäki;Hostelli Linnasmäki;Asiakas/suljettu;sisältyy hintaan;;;avaus hallinnoijalta;;12.5.2022;
11;2;type 2;48;Kakolankatu 14;23458543;6703776;Hotelli Kakola;Hotel Kakola;Hotel Kakola;asiakas/suljettu;sisältyy hintaan;;;p-paikan hintaan;;12.5.2022;
22;2;Type 2;71;Lautakunnankatu 1;23465113;6699763;Kaarinan Kaupunki;S:t Karins Stad;Kaarina;Julkinen;Maksullinen;;;Eparking;;12.5.2022;
22;8;Type 2;61;Myllynkatu 11;23456135;6709117;Kauppakeskus Mylly;Affärscentret Mylly;Shopping Center Mylly;Julkinen;Ilmainen;;;;;12.5.2022;
22;4;Type 2;33;Skanssinkatu 10;23462782;6702104;Kauppakeskus Skanssi;Affärscentret Skanssi;Shopping Center Skanssi;Asiakas/julkinen;Maksullinen;;;Virta app;;12.5.2022;
22;4;Type 2;2;Markulantie 150;23457792;6707016;Kesko;Kesko;Kesko;Asiakas/julkinen;Maksullinen;;;K-lataus;;12.5.2022;
50;2;CHAdeMO;2;Markulantie 150;23457792;6707016;Kesko;Kesko;Kesko;Asiakas/julkinen;Maksullinen;;;K-lataus;;12.5.2022;
50;2;CCS;2;Markulantie 150;23457792;6707016;Kesko;Kesko;Kesko;Asiakas/julkinen;Maksullinen;;;K-lataus;;12.5.2022;
50;1;CCS;3;Rieskalähteentie 89;23459340;6707085;Kesko;Kesko;Kesko;Asiakas/suljettu;Maksullinen;;;K-lataus;;12.5.2022;
22;4;Type 2;22;Uudenmaantie 17;23460586;6703517;Kesko;Kesko;Kesko;Asiakas/julkinen;Maksullinen;;;K-lataus;;12.5.2022;
50;2;CCS;22;Uudenmaantie 17;23460586;6703517;Kesko;Kesko;Kesko;Asiakas/julkinen;Maksullinen;;;K-lataus;;12.5.2022;
50;2;CHAdeMO;22;Uudenmaantie 17;23460586;6703517;Kesko;Kesko;Kesko;Asiakas/julkinen;Maksullinen;;;K-lataus;;12.5.2022;
22;4;Type 2;30;Hakakatu 16;23461905;6705273;Kesko;Kesko;Kesko;Asiakas/julkinen;Maksullinen;;;K-lataus;;12.5.2022;
50;2;CCS;30;Hakakatu 16;23461905;6705273;Kesko;Kesko;Kesko;Asiakas/julkinen;Maksullinen;;;K-lataus;;12.5.2022;
50;2;CHAdeMO;30;Hakakatu 16;23461905;6705273;Kesko;Kesko;Kesko;Asiakas/julkinen;Maksullinen;;;K-lataus;;12.5.2022;
22;4;Type 2;34;Itäkaari 20;23462711;6702242;Kesko;Kesko;Kesko;Asiakas/julkinen;Maksullinen;;;K-lataus;;12.5.2022;
150;2;CCS;44;Vanha Kakskerrantie 1;23458546;6702374;Kesko;Kesko;Kesko;asiakas/julkinen;Maksullinen;;;k-lataus;;12.5.2022;
50;1;chAdeMO;44;vanha Kakskerrantie 1;23458546;6702374;kesko;Kesko;Kesko;asiakas/julkinen;maksullinen;;;k-lataus;;12.5.2022;
11;1;type 2;44;vanha Kakskerrantie 1;23458546;6702374;kesko;Kesko;Kesko;asiakas/julkinen;maksullinen;;;k-lataus;;12.5.2022;
22;4;Type 2;62;Voudinkatu 5;23454422;6708920;Kesko;Kesko;Kesko;Julkinen;Maksullinen;;;K-lataus;;12.5.2022;
